Airline,Journey_Date,Journey_Day,Journey_Month,Flight_Time_Slot,Source,Destination,Route,Airports_Visited,Route_Type,Departure_Time,Arrival_Time,Arrival_Day,Duration,Total_Stops,Additional_Info,Price,Duration_Minutes,Extra_Baggage_Payment
GoAir,06-04-2019,Saturday,April,Morning,Delhi,Cochin,DEL → AMD → COK,3,One Stop,7:25,13:35,06-04-2019,6h 10m,1,No info,4201,370,Yes
Air India,06-03-2019,Wednesday,March,Afternoon,Delhi,Cochin,DEL → COK,2,Direct,14:10,17:10,06-03-2019,3h,0,No info,7931,180,Yes
Multiple carriers,15-05-2019,Wednesday,May,Afternoon,Delhi,Cochin,DEL → HYD → COK,3,One Stop,14:55,22:30,15-05-2019,7h 35m,1,No info,6513,455,Yes
Jet Airways,06-06-2019,Thursday,June,Afternoon,Delhi,Cochin,DEL → BOM → COK,3,One Stop,15:00,19:00,06-06-2019,28h,1,No info,14714,1680,Yes
IndiGo,09-05-2019,Thursday,May,Evening,Kolkata,Banglore,CCU → NAG → BLR,3,One Stop,18:05,23:30,09-05-2019,5h 25m,1,No info,6218,325,Yes
Air India,27-06-2019,Thursday,June,Afternoon,Delhi,Cochin,DEL → JAI → BOM → COK,4,Two Stops,12:00,19:15,27-06-2019,7h 15m,2,No info,8603,435,Yes
IndiGo,21-05-2019,Tuesday,May,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,8:30,21:00,21-05-2019,12h 30m,1,No info,7318,750,Yes
Multiple carriers,15-06-2019,Saturday,June,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,10:00,19:00,15-06-2019,9h,1,No info,13504,540,Yes
Multiple carriers,15-05-2019,Wednesday,May,Morning,Delhi,Cochin,DEL → HYD → COK,3,One Stop,7:05,22:30,15-05-2019,15h 25m,1,No info,9646,925,Yes
IndiGo,27-05-2019,Monday,May,Morning,Kolkata,Banglore,CCU → BLR,2,Direct,11:30,14:05,27-05-2019,2h 35m,0,No info,5224,155,Yes
Jet Airways,12-06-2019,Wednesday,June,Morning,Kolkata,Banglore,CCU → DEL → BLR,3,One Stop,9:35,18:00,12-06-2019,8h 25m,1,No info,12692,505,Yes
Jet Airways,06-06-2019,Thursday,June,Morning,Kolkata,Banglore,CCU → GAU → BLR,3,One Stop,10:20,17:35,06-06-2019,7h 15m,1,In-flight meal not included,9689,435,Yes
Air India,09-05-2019,Thursday,May,Morning,Kolkata,Banglore,CCU → DEL → COK → BLR,4,Two Stops,10:00,1:20,10-05-2019,15h 20m,2,No info,13033,920,Yes
Jet Airways,12-06-2019,Wednesday,June,Morning,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,6:30,16:20,12-06-2019,9h 50m,1,No info,13626,590,Yes
IndiGo,18-05-2019,Saturday,May,Evening,Mumbai,Hyderabad,BOM → HYD,2,Direct,19:05,20:35,18-05-2019,1h 30m,0,No info,2754,90,Yes
Jet Airways,09-05-2019,Thursday,May,Afternoon,Kolkata,Banglore,CCU → DEL → BLR,3,One Stop,17:00,9:45,10-05-2019,16h 45m,1,No info,12121,1005,Yes
IndiGo,24-04-2019,Wednesday,April,Night,Banglore,Delhi,BLR → DEL,2,Direct,1:30,4:15,24-04-2019,2h 45m,0,No info,3419,165,Yes
Air India,21-05-2019,Tuesday,May,Morning,Kolkata,Banglore,CCU → DEL → COK → BLR,4,Two Stops,10:00,1:20,22-05-2019,15h 20m,2,No info,13033,920,Yes
IndiGo,06-04-2019,Saturday,April,Night,Kolkata,Banglore,CCU → BLR,2,Direct,4:40,7:15,06-04-2019,2h 35m,0,No info,4174,155,Yes
Air Asia,27-06-2019,Thursday,June,Morning,Delhi,Cochin,DEL → BLR → COK,3,One Stop,7:55,22:25,27-06-2019,14h 30m,1,No info,6152,870,Yes
Air India,27-06-2019,Thursday,June,Night,Delhi,Cochin,DEL → COK,2,Direct,5:10,8:00,27-06-2019,2h 50m,0,No info,5201,170,Yes
Jet Airways,15-03-2019,Friday,March,Morning,Banglore,New Delhi,BLR → BOM → DEL,3,One Stop,7:00,16:10,15-03-2019,9h 10m,1,In-flight meal not included,9134,550,Yes
Air India,18-05-2019,Saturday,May,Morning,Kolkata,Banglore,CCU → DEL → COK → BLR,4,Two Stops,7:00,1:20,19-05-2019,18h 20m,2,No info,13243,1100,Yes
Jet Airways,27-05-2019,Monday,May,Night,Delhi,Cochin,DEL → JAI → BOM → COK,4,Two Stops,5:30,4:25,28-05-2019,22h 55m,2,No info,15129,1375,Yes
Jet Airways,09-05-2019,Thursday,May,Evening,Mumbai,Hyderabad,BOM → HYD,2,Direct,19:35,21:05,09-05-2019,1h 30m,0,In-flight meal not included,2759,90,Yes
IndiGo,15-05-2019,Wednesday,May,Morning,Banglore,Delhi,BLR → DEL,2,Direct,6:05,8:50,15-05-2019,2h 45m,0,No info,4423,165,Yes
Vistara,18-05-2019,Saturday,May,Morning,Kolkata,Banglore,CCU → DEL → BLR,3,One Stop,7:10,22:40,18-05-2019,15h 30m,1,No info,9187,930,Yes
Multiple carriers,18-05-2019,Saturday,May,Morning,Delhi,Cochin,DEL → HYD → COK,3,One Stop,7:10,22:30,18-05-2019,15h 20m,1,No info,7740,920,Yes
Jet Airways,24-05-2019,Friday,May,Evening,Banglore,Delhi,BLR → DEL,2,Direct,19:50,22:50,24-05-2019,3h,0,In-flight meal not included,6144,180,Yes
Multiple carriers,09-06-2019,Sunday,June,Night,Delhi,Cochin,DEL → BOM → COK,3,One Stop,4:55,12:35,09-06-2019,7h 40m,1,No info,10877,460,Yes
IndiGo,15-06-2019,Saturday,June,Morning,Delhi,Cochin,DEL → HYD → COK,3,One Stop,11:55,22:30,15-06-2019,10h 35m,1,No info,6442,635,Yes
IndiGo,27-03-2019,Wednesday,March,Night,Delhi,Cochin,DEL → BOM → COK,3,One Stop,4:45,15:30,27-03-2019,10h 45m,1,No info,7048,645,Yes
Multiple carriers,27-06-2019,Thursday,June,Afternoon,Delhi,Cochin,DEL → BOM → COK,3,One Stop,15:15,1:30,28-06-2019,10h 15m,1,In-flight meal not included,5797,615,Yes
Air India,03-03-2019,Sunday,March,Morning,Banglore,New Delhi,BLR → BOM → AMD → DEL,4,Two Stops,6:45,23:55,03-03-2019,17h 10m,2,No info,10573,1030,Yes
IndiGo,15-05-2019,Wednesday,May,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,8:30,21:00,15-05-2019,12h 30m,1,No info,7503,750,Yes
IndiGo,12-06-2019,Wednesday,June,Afternoon,Delhi,Cochin,DEL → BOM → COK,3,One Stop,17:30,1:30,13-06-2019,8h,1,No info,6104,480,Yes
Jet Airways,09-05-2019,Thursday,May,Evening,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,21:10,8:15,10-05-2019,11h 5m,1,In-flight meal not included,9663,665,Yes
Jet Airways,03-06-2019,Monday,June,Morning,Banglore,Delhi,BLR → DEL,2,Direct,11:10,14:05,03-06-2019,2h 55m,0,In-flight meal not included,5769,175,Yes
Air India,15-06-2019,Saturday,June,Afternoon,Mumbai,Hyderabad,BOM → HYD,2,Direct,13:55,15:25,15-06-2019,1h 30m,0,No info,3100,90,Yes
Jet Airways,18-05-2019,Saturday,May,Afternoon,Delhi,Cochin,DEL → BOM → COK,3,One Stop,17:30,4:25,19-05-2019,10h 55m,1,In-flight meal not included,12373,655,Yes
SpiceJet,15-03-2019,Friday,March,Morning,Kolkata,Banglore,CCU → BLR,2,Direct,9:00,11:30,15-03-2019,2h 30m,0,No check-in baggage included,3815,150,Yes
Jet Airways,15-06-2019,Saturday,June,Afternoon,Delhi,Cochin,DEL → ATQ → BOM → COK,4,Two Stops,12:15,12:35,15-06-2019,24h 20m,2,No info,14300,1460,Yes
IndiGo,01-06-2019,Saturday,June,Morning,Banglore,Delhi,BLR → DEL,2,Direct,7:10,10:05,01-06-2019,2h 55m,0,No info,4823,175,Yes
IndiGo,18-06-2019,Tuesday,June,Evening,Mumbai,Hyderabad,BOM → HYD,2,Direct,19:05,20:35,18-06-2019,1h 30m,0,No info,2754,90,Yes
Multiple carriers,03-06-2019,Monday,June,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,6:00,19:15,03-06-2019,13h 15m,1,No info,9736,795,Yes
Jet Airways,21-03-2019,Thursday,March,Morning,Banglore,New Delhi,BLR → MAA → DEL,3,One Stop,9:45,14:25,21-03-2019,4h 40m,1,In-flight meal not included,7280,280,Yes
Multiple carriers,09-06-2019,Sunday,June,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,8:00,21:00,09-06-2019,13h,1,No info,7408,780,Yes
Jet Airways,12-06-2019,Wednesday,June,Evening,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,20:00,12:00,13-06-2019,16h,1,No info,13044,960,Yes
Air India,24-05-2019,Friday,May,Night,Kolkata,Banglore,CCU → IXR → DEL → BLR,4,Two Stops,5:50,23:15,24-05-2019,17h 25m,2,No info,12723,1045,Yes
Jet Airways,06-05-2019,Monday,May,Afternoon,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,16:30,4:40,07-05-2019,12h 10m,1,In-flight meal not included,8586,730,Yes
IndiGo,12-06-2019,Wednesday,June,Afternoon,Delhi,Cochin,DEL → BOM → COK,3,One Stop,16:00,1:30,13-06-2019,9h 30m,1,No info,6316,570,Yes
Jet Airways,09-05-2019,Thursday,May,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,9:00,19:00,09-05-2019,10h,1,No info,15554,600,Yes
SpiceJet,15-03-2019,Friday,March,Afternoon,Mumbai,Hyderabad,BOM → HYD,2,Direct,13:10,14:30,15-03-2019,1h 20m,0,No check-in baggage included,2385,80,Yes
Multiple carriers,09-06-2019,Sunday,June,Afternoon,Delhi,Cochin,DEL → BOM → COK,3,One Stop,13:00,21:00,09-06-2019,8h,1,No info,13587,480,Yes
IndiGo,03-03-2019,Sunday,March,Night,Delhi,Cochin,DEL → BBI → COK,3,One Stop,2:35,8:30,03-03-2019,5h 55m,1,No info,13790,355,Yes
Air India,15-05-2019,Wednesday,May,Morning,Delhi,Cochin,DEL → HYD → MAA → COK,4,Two Stops,9:45,9:25,16-05-2019,23h 40m,2,No info,10975,1420,Yes
Jet Airways,21-05-2019,Tuesday,May,Morning,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,8:25,9:20,21-05-2019,24h 55m,1,No info,14388,1495,Yes
Multiple carriers,06-06-2019,Thursday,June,Evening,Delhi,Cochin,DEL → BOM → COK,3,One Stop,18:00,1:30,07-06-2019,7h 30m,1,No info,7198,450,Yes
Jet Airways,09-05-2019,Thursday,May,Morning,Delhi,Cochin,DEL → JAI → BOM → COK,4,Two Stops,9:40,12:35,09-05-2019,26h 55m,2,In-flight meal not included,13029,1615,Yes
Multiple carriers,27-05-2019,Monday,May,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,7:05,19:15,27-05-2019,12h 10m,1,In-flight meal not included,12717,730,Yes
IndiGo,03-03-2019,Sunday,March,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,6:40,13:20,03-03-2019,6h 40m,1,No info,14871,400,Yes
Jet Airways,06-06-2019,Thursday,June,Morning,Kolkata,Banglore,CCU → BOM → PNQ → BLR,4,Two Stops,6:30,20:50,06-06-2019,14h 20m,2,In-flight meal not included,10118,860,Yes
Jet Airways,06-06-2019,Thursday,June,Evening,Delhi,Cochin,DEL → BOM → COK,3,One Stop,22:50,4:25,07-06-2019,5h 35m,1,In-flight meal not included,10262,335,Yes
Jet Airways,24-03-2019,Sunday,March,Night,Mumbai,Hyderabad,BOM → HYD,2,Direct,2:55,4:25,24-03-2019,1h 30m,0,In-flight meal not included,2071,90,Yes
Air India,27-04-2019,Saturday,April,Evening,Banglore,Delhi,BLR → DEL,2,Direct,21:05,23:55,27-04-2019,2h 50m,0,No info,5228,170,Yes
Jet Airways,21-03-2019,Thursday,March,Afternoon,Banglore,New Delhi,BLR → BOM → DEL,3,One Stop,16:55,11:25,22-03-2019,18h 30m,1,In-flight meal not included,7832,1110,Yes
Multiple carriers,06-06-2019,Thursday,June,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,11:40,21:00,06-06-2019,9h 20m,1,No info,7005,560,Yes
Jet Airways,09-06-2019,Sunday,June,Evening,Delhi,Cochin,DEL → BDQ → BOM → COK,4,Two Stops,18:25,12:35,10-06-2019,18h 10m,2,No info,14237,1090,Yes
SpiceJet,06-04-2019,Saturday,April,Evening,Banglore,Delhi,BLR → DEL,2,Direct,21:10,0:05,07-04-2019,2h 55m,0,No info,3971,175,Yes
IndiGo,21-06-2019,Friday,June,Evening,Banglore,Delhi,BLR → DEL,2,Direct,22:10,1:00,22-06-2019,2h 50m,0,No info,3943,170,Yes
IndiGo,27-03-2019,Wednesday,March,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,6:40,15:30,27-03-2019,8h 50m,1,No info,8574,530,Yes
Air India,15-06-2019,Saturday,June,Night,Delhi,Cochin,DEL → BHO → BOM → COK,4,Two Stops,5:55,19:15,15-06-2019,13h 20m,2,No info,12646,800,Yes
Jet Airways,21-03-2019,Thursday,March,Afternoon,Delhi,Cochin,DEL → UDR → BOM → COK,4,Two Stops,13:00,18:50,21-03-2019,29h 50m,2,No info,13082,1790,Yes
Jet Airways,21-05-2019,Tuesday,May,Morning,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,8:25,8:15,22-05-2019,23h 50m,1,No info,13941,1430,Yes
GoAir,06-04-2019,Saturday,April,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,7:00,12:55,06-04-2019,5h 55m,1,No info,5135,355,Yes
Air India,21-05-2019,Tuesday,May,Morning,Kolkata,Banglore,CCU → DEL → BLR,3,One Stop,10:00,20:25,21-05-2019,10h 25m,1,No info,11096,625,Yes
Jet Airways,18-03-2019,Monday,March,Evening,Banglore,New Delhi,BLR → BOM → DEL,3,One Stop,22:50,9:30,19-03-2019,10h 40m,1,No info,13555,640,Yes
Vistara,12-04-2019,Friday,April,Morning,Banglore,Delhi,BLR → DEL,2,Direct,9:45,12:35,12-04-2019,2h 50m,0,No info,5403,170,Yes
Jet Airways,24-06-2019,Monday,June,Morning,Delhi,Cochin,DEL → JDH → BOM → COK,4,Two Stops,11:40,19:00,24-06-2019,7h 20m,2,In-flight meal not included,15812,440,Yes
Jet Airways,21-05-2019,Tuesday,May,Evening,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,20:00,8:15,22-05-2019,12h 15m,1,No info,14781,735,Yes
Air India,06-06-2019,Thursday,June,Afternoon,Delhi,Cochin,DEL → BLR → COK,3,One Stop,13:30,23:00,06-06-2019,9h 30m,1,No info,8907,570,Yes
Air India,03-05-2019,Friday,May,Evening,Kolkata,Banglore,CCU → BLR,2,Direct,20:45,23:20,03-05-2019,2h 35m,0,No info,4145,155,Yes
Jet Airways,09-06-2019,Sunday,June,Evening,Kolkata,Banglore,CCU → DEL → BLR,3,One Stop,20:25,9:45,10-06-2019,13h 20m,1,No info,14151,800,Yes
Multiple carriers,27-03-2019,Wednesday,March,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,6:00,15:30,27-03-2019,9h 30m,1,No info,7845,570,Yes
Multiple carriers,15-05-2019,Wednesday,May,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,9:15,19:15,15-05-2019,10h,1,No info,8099,600,Yes
Multiple carriers,27-05-2019,Monday,May,Afternoon,Delhi,Cochin,DEL → BOM → COK,3,One Stop,15:00,1:30,28-05-2019,10h 30m,1,No info,13377,630,Yes
Air India,12-03-2019,Tuesday,March,Morning,Banglore,New Delhi,BLR → HYD → VGA → DEL,4,Two Stops,6:50,11:20,12-03-2019,28h 30m,2,No info,12734,1710,Yes
Jet Airways,03-06-2019,Monday,June,Evening,Delhi,Cochin,DEL → BOM → COK,3,One Stop,22:50,4:25,04-06-2019,5h 35m,1,In-flight meal not included,10262,335,Yes
Jet Airways,15-05-2019,Wednesday,May,Evening,Banglore,Delhi,BLR → DEL,2,Direct,18:55,22:00,15-05-2019,3h 5m,0,No info,7229,185,Yes
Vistara,06-03-2019,Wednesday,March,Morning,Mumbai,Hyderabad,BOM → DEL → HYD,3,One Stop,8:45,9:25,06-03-2019,24h 40m,1,No info,12395,1480,Yes
Jet Airways,24-03-2019,Sunday,March,Evening,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,19:45,9:15,25-03-2019,13h 30m,1,In-flight meal not included,11134,810,Yes
Jet Airways,21-03-2019,Thursday,March,Afternoon,Delhi,Cochin,DEL → BOM → COK,3,One Stop,13:00,18:50,21-03-2019,5h 50m,1,In-flight meal not included,6540,350,Yes
Multiple carriers,06-06-2019,Thursday,June,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,6:40,19:15,06-06-2019,12h 35m,1,No info,7354,755,Yes
Air India,24-06-2019,Monday,June,Afternoon,Delhi,Cochin,DEL → JAI → BOM → COK,4,Two Stops,12:00,7:40,25-06-2019,19h 40m,2,No info,9548,1180,Yes
Vistara,01-05-2019,Wednesday,May,Morning,Kolkata,Banglore,CCU → DEL → BLR,3,One Stop,7:10,10:45,01-05-2019,27h 35m,1,No info,9187,1655,Yes
IndiGo,09-05-2019,Thursday,May,Morning,Delhi,Cochin,DEL → HYD → COK,3,One Stop,7:35,12:10,09-05-2019,4h 35m,1,No info,5054,275,Yes
Air India,09-06-2019,Sunday,June,Morning,Kolkata,Banglore,CCU → DEL → BLR,3,One Stop,10:00,20:25,09-06-2019,10h 25m,1,No info,10413,625,Yes
IndiGo,27-05-2019,Monday,May,Evening,Kolkata,Banglore,CCU → BLR,2,Direct,21:25,0:05,28-05-2019,2h 40m,0,No info,4804,160,Yes
IndiGo,15-06-2019,Saturday,June,Morning,Mumbai,Hyderabad,BOM → HYD,2,Direct,6:25,7:55,15-06-2019,1h 30m,0,No info,4049,90,Yes
Multiple carriers,27-06-2019,Thursday,June,Evening,Delhi,Cochin,DEL → BOM → COK,3,One Stop,19:00,1:30,28-06-2019,6h 30m,1,No info,6795,390,Yes
Air India,21-03-2019,Thursday,March,Evening,Kolkata,Banglore,CCU → BLR,2,Direct,20:45,23:20,21-03-2019,2h 35m,0,No info,4435,155,Yes
Jet Airways,12-06-2019,Wednesday,June,Afternoon,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,16:30,4:40,13-06-2019,12h 10m,1,In-flight meal not included,6224,730,Yes
IndiGo,12-06-2019,Wednesday,June,Evening,Kolkata,Banglore,CCU → BLR,2,Direct,20:20,22:55,12-06-2019,2h 35m,0,No info,4804,155,Yes
IndiGo,15-04-2019,Monday,April,Night,Delhi,Cochin,DEL → HYD → COK,3,One Stop,5:05,16:10,15-04-2019,11h 5m,1,No info,6171,665,Yes
IndiGo,03-06-2019,Monday,June,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,11:25,21:00,03-06-2019,9h 35m,1,No info,6093,575,Yes
IndiGo,12-04-2019,Friday,April,Afternoon,Kolkata,Banglore,CCU → BLR,2,Direct,17:15,19:50,12-04-2019,2h 35m,0,No info,4174,155,Yes
IndiGo,06-05-2019,Monday,May,Night,Mumbai,Hyderabad,BOM → HYD,2,Direct,2:35,4:05,06-05-2019,1h 30m,0,No info,3342,90,Yes
Multiple carriers,03-06-2019,Monday,June,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,10:00,21:00,03-06-2019,11h,1,No info,13587,660,Yes
Jet Airways,21-05-2019,Tuesday,May,Evening,Delhi,Cochin,DEL → BOM → COK,3,One Stop,21:50,4:25,22-05-2019,6h 35m,1,No info,16079,395,Yes
IndiGo,18-04-2019,Thursday,April,Night,Delhi,Cochin,DEL → COK,2,Direct,5:35,8:50,18-04-2019,3h 15m,0,No info,6015,195,Yes
Jet Airways,24-05-2019,Friday,May,Afternoon,Kolkata,Banglore,CCU → DEL → BLR,3,One Stop,17:00,19:10,24-05-2019,26h 10m,1,No info,13067,1570,Yes
Multiple carriers,15-05-2019,Wednesday,May,Night,Delhi,Cochin,DEL → BOM → COK,3,One Stop,4:55,12:35,15-05-2019,7h 40m,1,No info,9103,460,Yes
Jet Airways,24-05-2019,Friday,May,Evening,Kolkata,Banglore,CCU → DEL → BLR,3,One Stop,20:25,23:35,24-05-2019,27h 10m,1,No info,14151,1630,Yes
Jet Airways,27-03-2019,Wednesday,March,Morning,Delhi,Cochin,DEL → IXC → BOM → COK,4,Two Stops,6:20,18:50,27-03-2019,12h 30m,2,No info,11538,750,Yes
IndiGo,09-03-2019,Saturday,March,Morning,Delhi,Cochin,DEL → HYD → MAA → COK,4,Two Stops,8:35,21:20,09-03-2019,12h 45m,2,No info,8146,765,Yes
Air India,06-05-2019,Monday,May,Evening,Kolkata,Banglore,CCU → HYD → BLR,3,One Stop,19:00,4:40,07-05-2019,9h 40m,1,No info,6117,580,Yes
Jet Airways,03-03-2019,Sunday,March,Night,Delhi,Cochin,DEL → BOM → COK,3,One Stop,2:15,4:25,03-03-2019,26h 10m,1,No info,17024,1570,Yes
Jet Airways,01-03-2019,Friday,March,Afternoon,Banglore,New Delhi,BLR → BOM → DEL,3,One Stop,14:05,7:40,02-03-2019,17h 35m,1,1 Long layover,22270,1055,Yes
Jet Airways,09-06-2019,Sunday,June,Evening,Kolkata,Banglore,CCU → DEL → BLR,3,One Stop,20:25,21:05,09-06-2019,24h 40m,1,No info,12692,1480,Yes
Vistara,12-06-2019,Wednesday,June,Morning,Kolkata,Banglore,CCU → DEL → BLR,3,One Stop,7:10,20:20,12-06-2019,13h 10m,1,No info,8610,790,Yes
Multiple carriers,24-06-2019,Monday,June,Morning,Delhi,Cochin,DEL → HYD → COK,3,One Stop,7:10,22:30,24-06-2019,15h 20m,1,No info,6723,920,Yes
Vistara,12-05-2019,Sunday,May,Afternoon,Banglore,Delhi,BLR → DEL,2,Direct,17:00,19:35,12-05-2019,2h 35m,0,No info,4878,155,Yes
Jet Airways,06-03-2019,Wednesday,March,Evening,Banglore,New Delhi,BLR → BOM → DEL,3,One Stop,20:35,7:40,07-03-2019,11h 5m,1,No info,16736,665,Yes
Jet Airways,24-03-2019,Sunday,March,Afternoon,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,13:55,9:15,25-03-2019,19h 20m,1,In-flight meal not included,11134,1160,Yes
IndiGo,03-05-2019,Friday,May,Night,Banglore,Delhi,BLR → DEL,2,Direct,4:00,6:50,03-05-2019,2h 50m,0,No info,3943,170,Yes
Multiple carriers,12-06-2019,Wednesday,June,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,9:00,21:00,12-06-2019,12h,1,No info,13587,720,Yes
Jet Airways,06-03-2019,Wednesday,March,Night,Delhi,Cochin,DEL → IDR → BOM → COK,4,Two Stops,5:25,4:25,07-03-2019,23h,2,No info,16914,1380,Yes
SpiceJet,18-05-2019,Saturday,May,Evening,Mumbai,Hyderabad,BOM → HYD,2,Direct,22:45,0:15,19-05-2019,1h 30m,0,No check-in baggage included,1965,90,Yes
Multiple carriers,09-05-2019,Thursday,May,Afternoon,Delhi,Cochin,DEL → BOM → COK,3,One Stop,13:00,21:00,09-05-2019,8h,1,No info,8073,480,Yes
IndiGo,03-06-2019,Monday,June,Afternoon,Banglore,Delhi,BLR → DEL,2,Direct,13:00,15:50,03-06-2019,2h 50m,0,No info,3943,170,Yes
IndiGo,12-05-2019,Sunday,May,Afternoon,Kolkata,Banglore,CCU → HYD → BLR,3,One Stop,15:15,20:05,12-05-2019,4h 50m,1,No info,5170,290,Yes
GoAir,15-05-2019,Wednesday,May,Morning,Banglore,Delhi,BLR → DEL,2,Direct,11:40,14:30,15-05-2019,2h 50m,0,No info,3398,170,Yes
Air Asia,18-04-2019,Thursday,April,Morning,Kolkata,Banglore,CCU → BLR,2,Direct,10:20,12:55,18-04-2019,2h 35m,0,No info,4409,155,Yes
Jet Airways,21-06-2019,Friday,June,Afternoon,Banglore,Delhi,BLR → DEL,2,Direct,17:45,20:45,21-06-2019,3h,0,No info,8541,180,Yes
IndiGo,21-03-2019,Thursday,March,Night,Banglore,New Delhi,BLR → DEL,2,Direct,4:00,6:50,21-03-2019,2h 50m,0,No info,4777,170,Yes
SpiceJet,18-03-2019,Monday,March,Evening,Kolkata,Banglore,CCU → BLR,2,Direct,22:20,0:40,19-03-2019,2h 20m,0,No info,3847,140,Yes
Jet Airways,01-04-2019,Monday,April,Evening,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,18:55,12:00,02-04-2019,17h 5m,1,In-flight meal not included,7064,1025,Yes
Vistara,27-05-2019,Monday,May,Evening,Banglore,Delhi,BLR → DEL,2,Direct,21:00,23:50,27-05-2019,2h 50m,0,No info,4668,170,Yes
SpiceJet,18-03-2019,Monday,March,Evening,Mumbai,Hyderabad,BOM → HYD,2,Direct,22:45,0:10,19-03-2019,1h 25m,0,No check-in baggage included,1965,85,Yes
Jet Airways,21-05-2019,Tuesday,May,Morning,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,6:30,16:20,21-05-2019,9h 50m,1,No info,14781,590,Yes
IndiGo,15-06-2019,Saturday,June,Morning,Mumbai,Hyderabad,BOM → HYD,2,Direct,9:10,10:40,15-06-2019,1h 30m,0,No info,4049,90,Yes
Jet Airways,18-05-2019,Saturday,May,Evening,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,18:55,8:15,19-05-2019,13h 20m,1,No info,13584,800,Yes
Jet Airways,18-05-2019,Saturday,May,Evening,Delhi,Cochin,DEL → BOM → COK,3,One Stop,20:55,12:35,19-05-2019,15h 40m,1,In-flight meal not included,12373,940,Yes
Jet Airways,27-05-2019,Monday,May,Afternoon,Delhi,Cochin,DEL → BOM → COK,3,One Stop,16:00,19:00,27-05-2019,27h,1,No info,16079,1620,Yes
Jet Airways,24-05-2019,Friday,May,Morning,Banglore,Delhi,BLR → DEL,2,Direct,8:20,11:20,24-05-2019,3h,0,No info,7229,180,Yes
Jet Airways,06-03-2019,Wednesday,March,Evening,Banglore,New Delhi,BLR → BOM → DEL,3,One Stop,21:25,21:20,07-03-2019,23h 55m,1,No info,17471,1435,Yes
Jet Airways,12-05-2019,Sunday,May,Morning,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,6:30,16:20,12-05-2019,9h 50m,1,No info,14781,590,Yes
Jet Airways,09-06-2019,Sunday,June,Morning,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,6:30,19:50,09-06-2019,13h 20m,1,No info,14571,800,Yes
Multiple carriers,18-05-2019,Saturday,May,Night,Delhi,Cochin,DEL → BOM → COK,3,One Stop,3:50,12:35,18-05-2019,8h 45m,1,No info,10197,525,Yes
SpiceJet,01-06-2019,Saturday,June,Afternoon,Delhi,Cochin,DEL → BLR → COK,3,One Stop,17:55,22:50,01-06-2019,4h 55m,1,No info,5975,295,Yes
Multiple carriers,09-04-2019,Tuesday,April,Afternoon,Delhi,Cochin,DEL → BOM → COK,3,One Stop,17:45,1:30,10-04-2019,7h 45m,1,No info,8535,465,Yes
Multiple carriers,27-03-2019,Wednesday,March,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,9:55,21:00,27-03-2019,11h 5m,1,No info,12537,665,Yes
Air India,24-05-2019,Friday,May,Evening,Kolkata,Banglore,CCU → BLR,2,Direct,20:45,23:20,24-05-2019,2h 35m,0,No info,4145,155,Yes
IndiGo,15-03-2019,Friday,March,Morning,Mumbai,Hyderabad,BOM → HYD,2,Direct,9:10,10:40,15-03-2019,1h 30m,0,No info,4049,90,Yes
Air Asia,09-05-2019,Thursday,May,Evening,Kolkata,Banglore,CCU → DEL → BLR,3,One Stop,22:40,10:40,10-05-2019,12h,1,No info,5192,720,Yes
